"Step","ctrl_cost 0.5 ant leg weight 1 - valid_returns","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MAX"
"242","-9.424439430236816","-9.424439430236816","-9.424439430236816"
"243","-7.9217448234558105","-7.9217448234558105","-7.9217448234558105"
"244","-8.302725791931152","-8.302725791931152","-8.302725791931152"
"245","-8.523173332214355","-8.523173332214355","-8.523173332214355"
"246","-8.335865020751953","-8.335865020751953","-8.335865020751953"
"247","-8.016480445861816","-8.016480445861816","-8.016480445861816"
"248","-7.669389724731445","-7.669389724731445","-7.669389724731445"
"249","-8.667681694030762","-8.667681694030762","-8.667681694030762"
"250","-7.699730396270752","-7.699730396270752","-7.699730396270752"
"251","-8.636829376220703","-8.636829376220703","-8.636829376220703"
"252","-7.091073989868164","-7.091073989868164","-7.091073989868164"
"253","-6.975449085235596","-6.975449085235596","-6.975449085235596"
"254","-7.031562328338623","-7.031562328338623","-7.031562328338623"
"255","-7.486224174499512","-7.486224174499512","-7.486224174499512"
"256","-6.5472893714904785","-6.5472893714904785","-6.5472893714904785"
"257","-6.980556488037109","-6.980556488037109","-6.980556488037109"
"258","-6.615170955657959","-6.615170955657959","-6.615170955657959"
"259","-6.560657978057861","-6.560657978057861","-6.560657978057861"
"260","-6.111094951629639","-6.111094951629639","-6.111094951629639"
"261","-6.270398139953613","-6.270398139953613","-6.270398139953613"
"262","-6.0603346824646","-6.0603346824646","-6.0603346824646"
"263","-5.983011245727539","-5.983011245727539","-5.983011245727539"
"264","-5.851627349853516","-5.851627349853516","-5.851627349853516"
"265","-5.519774913787842","-5.519774913787842","-5.519774913787842"
"266","-5.576915264129639","-5.576915264129639","-5.576915264129639"
"267","-5.520193099975586","-5.520193099975586","-5.520193099975586"
"268","-5.771982192993164","-5.771982192993164","-5.771982192993164"
"269","-5.016391754150391","-5.016391754150391","-5.016391754150391"
"270","-4.613866806030273","-4.613866806030273","-4.613866806030273"
"271","-5.245893478393555","-5.245893478393555","-5.245893478393555"
"272","-4.389170169830322","-4.389170169830322","-4.389170169830322"
"273","-3.984494209289551","-3.984494209289551","-3.984494209289551"
"274","-4.998180866241455","-4.998180866241455","-4.998180866241455"
"275","-4.643373489379883","-4.643373489379883","-4.643373489379883"
"276","-4.001039981842041","-4.001039981842041","-4.001039981842041"
"277","-3.4999799728393555","-3.4999799728393555","-3.4999799728393555"
"278","-3.9247591495513916","-3.9247591495513916","-3.9247591495513916"
"279","-3.2311878204345703","-3.2311878204345703","-3.2311878204345703"
"280","-3.704817771911621","-3.704817771911621","-3.704817771911621"
"281","-2.9569778442382812","-2.9569778442382812","-2.9569778442382812"
"282","-3.3653082847595215","-3.3653082847595215","-3.3653082847595215"
"283","-2.900916337966919","-2.900916337966919","-2.900916337966919"
"284","-3.495945930480957","-3.495945930480957","-3.495945930480957"
"285","-2.6697821617126465","-2.6697821617126465","-2.6697821617126465"
"286","-2.595881938934326","-2.595881938934326","-2.595881938934326"
"287","-2.0654592514038086","-2.0654592514038086","-2.0654592514038086"
"288","-1.9421823024749756","-1.9421823024749756","-1.9421823024749756"
"289","-1.7115381956100464","-1.7115381956100464","-1.7115381956100464"
"290","-1.2505284547805786","-1.2505284547805786","-1.2505284547805786"
"291","-1.5367852449417114","-1.5367852449417114","-1.5367852449417114"
"292","-1.2718398571014404","-1.2718398571014404","-1.2718398571014404"
"293","-1.1908172369003296","-1.1908172369003296","-1.1908172369003296"
"294","-0.854748010635376","-0.854748010635376","-0.854748010635376"
"295","-0.8768472075462341","-0.8768472075462341","-0.8768472075462341"
"296","-0.23561199009418488","-0.23561199009418488","-0.23561199009418488"
"297","-0.29650601744651794","-0.29650601744651794","-0.29650601744651794"
"298","-0.4379618763923645","-0.4379618763923645","-0.4379618763923645"
"299","0.033828943967819214","0.033828943967819214","0.033828943967819214"
"300","-0.35689765214920044","-0.35689765214920044","-0.35689765214920044"
"301","-0.3115891218185425","-0.3115891218185425","-0.3115891218185425"
"302","-0.23692846298217773","-0.23692846298217773","-0.23692846298217773"
"303","0.16508744657039642","0.16508744657039642","0.16508744657039642"
"304","0.9289431571960449","0.9289431571960449","0.9289431571960449"
"305","-0.2764383852481842","-0.2764383852481842","-0.2764383852481842"
"306","1.7407037019729614","1.7407037019729614","1.7407037019729614"
"307","1.0413315296173096","1.0413315296173096","1.0413315296173096"
"308","1.553556203842163","1.553556203842163","1.553556203842163"
"309","1.3253636360168457","1.3253636360168457","1.3253636360168457"
"310","1.6882834434509277","1.6882834434509277","1.6882834434509277"
"311","1.7534600496292114","1.7534600496292114","1.7534600496292114"
"312","2.2433979511260986","2.2433979511260986","2.2433979511260986"
"313","2.09602689743042","2.09602689743042","2.09602689743042"
"314","2.114032506942749","2.114032506942749","2.114032506942749"
"315","2.0890586376190186","2.0890586376190186","2.0890586376190186"
"316","3.100945234298706","3.100945234298706","3.100945234298706"
"317","2.97721791267395","2.97721791267395","2.97721791267395"
"318","2.987764835357666","2.987764835357666","2.987764835357666"
"319","3.4642746448516846","3.4642746448516846","3.4642746448516846"
"320","3.4152638912200928","3.4152638912200928","3.4152638912200928"
"321","3.458801031112671","3.458801031112671","3.458801031112671"
"322","3.581754684448242","3.581754684448242","3.581754684448242"
"323","3.328566312789917","3.328566312789917","3.328566312789917"
"324","4.1651225090026855","4.1651225090026855","4.1651225090026855"
"325","4.231366157531738","4.231366157531738","4.231366157531738"
"326","4.5667524337768555","4.5667524337768555","4.5667524337768555"
"327","4.648318767547607","4.648318767547607","4.648318767547607"
"328","4.440042018890381","4.440042018890381","4.440042018890381"
"329","4.997811794281006","4.997811794281006","4.997811794281006"
"330","4.98661470413208","4.98661470413208","4.98661470413208"
"331","5.751748085021973","5.751748085021973","5.751748085021973"
"332","5.482775688171387","5.482775688171387","5.482775688171387"
"333","5.446664810180664","5.446664810180664","5.446664810180664"
"334","5.534268856048584","5.534268856048584","5.534268856048584"
"335","5.708877086639404","5.708877086639404","5.708877086639404"
"336","6.661355972290039","6.661355972290039","6.661355972290039"
"337","6.772548675537109","6.772548675537109","6.772548675537109"
"338","6.719058036804199","6.719058036804199","6.719058036804199"
